"Identificador de URL";"Nombre";"Categorías";"Nombre de propiedad 1";"Valor de propiedad 1";"Nombre de propiedad 2";"Valor de propiedad 2";"Nombre de propiedad 3";"Valor de propiedad 3";"Precio";"Precio promocional";"Peso (kg)";"Alto (cm)";"Ancho (cm)";"Profundidad (cm)";"Stock";"SKU";"Código de barras";"Mostrar en tienda";"Envío sin cargo";"Descripción";"Tags";"Título para SEO";"Descripción para SEO";"Marca";"Producto Físico";"MPN (Número de pieza del fabricante)";"Sexo";"Rango de edad";"Costo"
"jean-nascar1";"Jean Nascar";"OTOÑO - INVIERNO > PANTALONES, OTOÑO - INVIERNO > DENIM, BASICOS";"Talle";"36";"";"";"";"";"77,500.00";"65,875.00";"0.20";"3.00";"30.00";"30.00";"25";"SIMO11398";"";"SI";"NO";"<div style=""background:#e9eae5;padding:36px 32px 30px;text-align:center;position:relative;overflow:hidden;"">
  <div style=""position:absolute;top:0;left:0;right:0;height:3px;background:linear-gradient(90deg,#90263A,#D5C792,#A2897B);""></div>
  <span style=""display:inline-block;border:1px solid #A2897B;color:#A2897B;font-size:9px;font-weight:700;letter-spacing:2.5px;text-transform:uppercase;padding:4px 14px;margin-bottom:18px;"">Otoño · Invierno</span>
  <h1 style=""color:#3a2a2a;font-size:26px;font-weight:600;line-height:1.2;margin-bottom:10px;"">Jean Nascar</h1>
  <p style=""color:#A2897B;font-size:13px;font-weight:300;letter-spacing:0.5px;font-style:italic;"">Cómo usarlo:Con remeras básicas y zapatillas para un outfit casual.Con camisas o blusas para un estilo más pulido.Con blazer y botas para un look urbano con personalidad.</p>
</div>

<div style=""background:#ffffff;padding:20px 28px;border-left:3px solid #90263A;"">
  <p style=""font-size:15px;color:#333;line-height:1.7;font-style:italic;"">
    ""Cómo usarlo:Con remeras básicas y zapatillas para un outfit casual.Con camisas o blusas para un estilo más pulido.Con blazer y botas para un look urbano con personalidad.""
  </p>
</div>

<div style=""background:#ffffff;padding:24px 28px;margin-top:2px;"">
  <p style=""font-size:9px;font-weight:700;letter-spacing:2px;text-transform:uppercase;color:#90263A;margin-bottom:18px;"">Detalles de la prenda</p>
  <table style=""width:100%;border-collapse:collapse;"">
    <tr style=""border-bottom:1px solid #f0efec;"">
      <td style=""padding:12px 0;width:100px;vertical-align:top;"">
        <span style=""font-size:9px;font-weight:700;letter-spacing:1.5px;text-transform:uppercase;color:#A2897B;"">Material</span>
      </td>
      <td style=""padding:12px 0;font-size:13px;color:#444;line-height:1.6;"">
        Denim rígido y resistente, ideal para uso cotidiano. Diseño: Tiro alto con corte estilo mom fit, suelto en piernas y ajustado en la cintura. Detalles: Terminación clásica, silueta tipo &ldquo;alemeja&rdquo; que realza la figura y aporta comodidad. Estilo: Un básico urbano y versátil, perfecto para looks relajados con un toque vintage.
      </td>
    </tr>
    <tr style=""border-bottom:1px solid #f0efec;"">
      <td style=""padding:12px 0;width:100px;vertical-align:top;"">
        <span style=""font-size:9px;font-weight:700;letter-spacing:1.5px;text-transform:uppercase;color:#A2897B;"">Diseño</span>
      </td>
      <td style=""padding:12px 0;font-size:13px;color:#444;line-height:1.6;"">
        Tiro alto con corte estilo mom fit, suelto en piernas y ajustado en la cintura. Detalles: Terminación clásica, silueta tipo &ldquo;alemeja&rdquo; que realza la figura y aporta comodidad. Estilo: Un básico urbano y versátil, perfecto para looks relajados con un toque vintage.
      </td>
    </tr>
    <tr style="""">
      <td style=""padding:12px 0;width:100px;vertical-align:top;"">
        <span style=""font-size:9px;font-weight:700;letter-spacing:1.5px;text-transform:uppercase;color:#A2897B;"">Estilo</span>
      </td>
      <td style=""padding:12px 0;font-size:13px;color:#444;line-height:1.6;"">
        Un básico urbano y versátil, perfecto para looks relajados con un toque vintage.
      </td>
    </tr>
  </table>
</div>

<div style=""background:#e9eae5;padding:20px 28px;margin-top:2px;display:flex;align-items:center;gap:16px;flex-wrap:wrap;"">
  <span style=""font-size:9px;font-weight:700;letter-spacing:2px;text-transform:uppercase;color:#90263A;flex-shrink:0;"">Cuidados</span>
  <div style=""display:flex;gap:8px;flex-wrap:wrap;"">
    <span style=""background:#fff;color:#555;font-size:11px;padding:5px 13px;letter-spacing:0.3px;"">&#10022; Lavar del revés con agua fría</span>
    <span style=""background:#fff;color:#555;font-size:11px;padding:5px 13px;letter-spacing:0.3px;"">&#10022; No usar secadora para mantener la forma y el color del denim</span>
  </div>
</div>

<div style=""background:#f7f4f1;padding:22px 28px 18px;margin-top:2px;border-top:1px solid #e0dbd5;"">
  <p style=""font-size:9px;font-weight:700;letter-spacing:2px;text-transform:uppercase;color:#90263A;margin-bottom:14px;"">Guía de talles</p>
  <img src=""https://d1a9qnv764bsoo.cloudfront.net/stores/601/496/rte/67-jean-nascar.png"" alt=""Guía de talles Jean Nascar"" style=""display:block;width:100%;height:auto;"" />
</div>

<div style=""background:#ffffff;padding:20px 28px 24px;margin-top:2px;border-bottom:3px solid #90263A;"">

  <p style=""font-size:10px;color:#000;text-align:center;font-style:italic;margin:0;"">Todas las medidas son aproximadas y lineales. No son de contorno.</p>
</div>";"";"Jean Nascar Mom Fit Tiro Alto Denim Rígido Urbano y Vintage";"Descubrí el jean Nascar mom fit, tiro alto y denim rígido, que realza tu figura con estilo vintage. Sumalo a tu look urbano. ¡Elegí el tuyo y destacate!";"";"SI";"";"";"";""
"jean-nascar1";"";"";"Talle";"38";"";"";"";"";"77,500.00";"65,875.00";"0.20";"3.00";"30.00";"30.00";"85";"SIMO11399";"";"";"";"";"";"";"";"";"";"";"";"";""
"jean-nascar1";"";"";"Talle";"40";"";"";"";"";"77,500.00";"65,875.00";"0.20";"3.00";"30.00";"30.00";"14";"SIMO11400";"";"";"";"";"";"";"";"";"";"";"";"";""
"jean-nascar1";"";"";"Talle";"42";"";"";"";"";"77,500.00";"65,875.00";"0.20";"3.00";"30.00";"30.00";"23";"SIMO11401";"";"";"";"";"";"";"";"";"";"";"";"";""
"jean-nascar1";"";"";"Talle";"44";"";"";"";"";"77,500.00";"65,875.00";"0.20";"3.00";"30.00";"30.00";"0";"SIMO11402";"";"";"";"";"";"";"";"";"";"";"";"";""
"pack-x-2-camisa-clasica";"Pack x 2 Camisa Clasica";"BASICOS";"Talle";"S";"";"";"";"";"71,500.00";"";"0.20";"2.00";"20.00";"20.00";"72";"SIMO11329";"";"SI";"NO";"<!-- HERO -->
<div style=""background:#e9eae5;padding:36px 32px 30px;text-align:center;position:relative;overflow:hidden;"">
  <div style=""position:absolute;top:0;left:0;right:0;height:3px;background:linear-gradient(90deg,#90263A,#D5C792,#A2897B);""></div>
  <h1 style=""font-family:'Playfair Display',Georgia,serif;color:#3a2a2a;font-size:26px;font-weight:600;line-height:1.2;margin-bottom:10px;"">Pack x 2 Camisa Clasica</h1>
  <p style=""color:#A2897B;font-size:13px;font-weight:300;letter-spacing:0.5px;font-style:italic;""></p>
</div>

<!-- CARACTERÍSTICAS -->
<div style=""background:#ffffff;padding:24px 28px;margin-top:2px;"">
  <p style=""font-size:9px;font-weight:700;letter-spacing:2px;text-transform:uppercase;color:#90263A;margin-bottom:18px;"">Detalles de la prenda</p>
  <table style=""width:100%;border-collapse:collapse;"">
    <tr style=""border-bottom:1px solid #f0efec;"">
      <td style=""padding:12px 0;width:100px;vertical-align:top;""><span style=""font-size:9px;font-weight:700;letter-spacing:1.5px;text-transform:uppercase;color:#A2897B;"">Material</span></td>
      <td style=""padding:12px 0;font-size:13px;color:#444;line-height:1.6;"">Confeccionadas en voile 100% algodón, una tela fresca, liviana y suave que brinda comodidad durante todo el día.</td>
    </tr>
    <tr style=""border-bottom:1px solid #f0efec;"">
      <td style=""padding:12px 0;width:100px;vertical-align:top;""><span style=""font-size:9px;font-weight:700;letter-spacing:1.5px;text-transform:uppercase;color:#A2897B;"">Dise&ntilde;o</span></td>
      <td style=""padding:12px 0;font-size:13px;color:#444;line-height:1.6;"">Incluye dos camisas de corte clásico —una en blanco y otra en negro— con cuello camisero y botones al frente. Su calce holgado y fluido se adapta a distintos estilos y ocasiones.</td>
    </tr>
    <tr style="""">
      <td style=""padding:12px 0;width:100px;vertical-align:top;""><span style=""font-size:9px;font-weight:700;letter-spacing:1.5px;text-transform:uppercase;color:#A2897B;"">Estilo</span></td>
      <td style=""padding:12px 0;font-size:13px;color:#444;line-height:1.6;"">Un dúo infaltable en tu guardarropa. Perfectas para combinar con jeans, pantalones sastreros o faldas, logrando looks casuales, formales o de oficina con un toque atemporal.</td>
    </tr>
  </table>
</div>

<!-- CUIDADOS -->
<div style=""background:#e9eae5;padding:20px 28px;margin-top:2px;display:flex;align-items:center;gap:16px;flex-wrap:wrap;"">
  <span style=""font-size:9px;font-weight:700;letter-spacing:2px;text-transform:uppercase;color:#90263A;flex-shrink:0;"">Cuidados</span>
  <div style=""display:flex;gap:8px;flex-wrap:wrap;"">
    <span style=""background:#fff;color:#555;font-size:11px;padding:5px 13px;letter-spacing:0.3px;"">&#10022; Lavar a mano o en ciclo delicado con agua fría</span>
    <span style=""background:#fff;color:#555;font-size:11px;padding:5px 13px;letter-spacing:0.3px;"">&#10022; No usar secadora</span>
  </div>
</div>

<!-- GUÍA DE TALLES -->
<div style=""background:#f7f4f1;padding:22px 28px 18px;margin-top:2px;border-top:1px solid #e0dbd5;"">
  <p style=""font-size:9px;font-weight:700;letter-spacing:2px;text-transform:uppercase;color:#90263A;margin-bottom:14px;"">Gu&iacute;a de talles</p>
  <img src=""https://d1a9qnv764bsoo.cloudfront.net/stores/601/496/rte/02-pack-x-2-camisa-clasica.png"" alt=""Gu&iacute;a de talles Pack x 2 Camisa Clasica"" style=""display:block;width:100%;height:auto;"" />
</div>

<!-- NOTA FINAL -->
<div style=""background:#ffffff;padding:20px 28px 24px;margin-top:2px;border-bottom:3px solid #90263A;"">

  <div style=""background:#90263A;padding:14px 20px;margin-bottom:16px;display:flex;align-items:center;gap:14px;""><div style=""width:36px;height:36px;border-radius:50%;background:#ffffff;display:flex;align-items:center;justify-content:center;flex-shrink:0;""><span style=""font-size:14px;font-weight:700;color:#90263A;"">A</span></div><div><p style=""font-size:9px;letter-spacing:2px;text-transform:uppercase;color:#D5C792;margin-bottom:3px;"">Referencia de talle</p><p style=""font-size:14px;color:#ffffff;font-weight:700;letter-spacing:0.3px;"">Ale usa talle L en este modelo</p></div></div>

  <p style=""font-size:11px;color:#aaa;text-align:center;margin-bottom:10px;"">La modelo de la foto usa talle S</p>
  <p style=""font-size:10px;color:#000;text-align:center;font-style:italic;margin:0;"">Todas las medidas son aproximadas y lineales. No son de contorno.</p>
  <p style=""font-size:10px;color:#000;text-align:center;font-style:italic;margin:4px 0 0;"">Todas las prendas del pack son del mismo talle seleccionado.</p>
</div>";"";"Pack x 2 Camisa Clásica Rayón Twill con Bolsillo Frontal Mujer";"Pack x 2 camisa clásica de rayón twill, suave y fresca, con bolsillo. Diseño atemporal y versátil para cualquier ocasión. ¡Renová tu look hoy!";"";"SI";"";"";"";""
"pack-x-2-camisa-clasica";"";"";"Talle";"M";"";"";"";"";"71,500.00";"";"0.20";"2.00";"20.00";"20.00";"45";"SIMO11330";"";"";"";"";"";"";"";"";"";"";"";"";""
"pack-x-2-camisa-clasica";"";"";"Talle";"L";"";"";"";"";"71,500.00";"";"0.20";"2.00";"20.00";"20.00";"95";"SIMO11331";"";"";"";"";"";"";"";"";"";"";"";"";""
"pack-x-2-camisa-clasica";"";"";"Talle";"XL";"";"";"";"";"71,500.00";"";"0.20";"2.00";"20.00";"20.00";"64";"SIMO11332";"";"";"";"";"";"";"";"";"";"";"";"";""
"pack-x-3-remeras-basicas-escote-en-v";"Pack x 3 Remeras Basicas escote en V (Blanco-Negro-Gris)";"BASICOS";"Talle";"S";"";"";"";"";"59,700.00";"";"0.20";"3.00";"20.00";"20.00";"48";"SIMO10996";"";"SI";"NO";"<!-- HERO -->
<div style=""background:#e9eae5;padding:36px 32px 30px;text-align:center;position:relative;overflow:hidden;"">
  <div style=""position:absolute;top:0;left:0;right:0;height:3px;background:linear-gradient(90deg,#90263A,#D5C792,#A2897B);""></div>
  <h1 style=""font-family:'Playfair Display',Georgia,serif;color:#3a2a2a;font-size:26px;font-weight:600;line-height:1.2;margin-bottom:10px;"">Pack x 3 Remeras Basicas escote en V (Blanco-Negro-Gris)</h1>
  <p style=""color:#A2897B;font-size:13px;font-weight:300;letter-spacing:0.5px;font-style:italic;"">Cómo usarlas:Con jeans o shorts para un look casual y fresco.Bajo blazers o camperas para un toque urbano y relajado.Con pantalones sastreros o faldas para un contraste elegante.</p>
</div>

<!-- CARACTERÍSTICAS -->
<div style=""background:#ffffff;padding:24px 28px;margin-top:2px;"">
  <p style=""font-size:9px;font-weight:700;letter-spacing:2px;text-transform:uppercase;color:#90263A;margin-bottom:18px;"">Detalles de la prenda</p>
  <table style=""width:100%;border-collapse:collapse;"">
    <tr style=""border-bottom:1px solid #f0efec;"">
      <td style=""padding:12px 0;width:100px;vertical-align:top;""><span style=""font-size:9px;font-weight:700;letter-spacing:1.5px;text-transform:uppercase;color:#A2897B;"">Material</span></td>
      <td style=""padding:12px 0;font-size:13px;color:#444;line-height:1.6;"">Algodón flame suave, liviano y respirable. Perfecto para uso diario en cualquier estación.</td>
    </tr>
    <tr style=""border-bottom:1px solid #f0efec;"">
      <td style=""padding:12px 0;width:100px;vertical-align:top;""><span style=""font-size:9px;font-weight:700;letter-spacing:1.5px;text-transform:uppercase;color:#A2897B;"">Dise&ntilde;o</span></td>
      <td style=""padding:12px 0;font-size:13px;color:#444;line-height:1.6;"">Corte clásico con escote en V que favorece y estiliza.</td>
    </tr>
    <tr style="""">
      <td style=""padding:12px 0;width:100px;vertical-align:top;""><span style=""font-size:9px;font-weight:700;letter-spacing:1.5px;text-transform:uppercase;color:#A2897B;"">Detalles</span></td>
      <td style=""padding:12px 0;font-size:13px;color:#444;line-height:1.6;"">Terminaciones prolijas y textura flameada que le da un look descontracturado y moderno.</td>
    </tr>
  </table>
</div>

<!-- CUIDADOS -->
<div style=""background:#e9eae5;padding:20px 28px;margin-top:2px;display:flex;align-items:center;gap:16px;flex-wrap:wrap;"">
  <span style=""font-size:9px;font-weight:700;letter-spacing:2px;text-transform:uppercase;color:#90263A;flex-shrink:0;"">Cuidados</span>
  <div style=""display:flex;gap:8px;flex-wrap:wrap;"">
    <span style=""background:#fff;color:#555;font-size:11px;padding:5px 13px;letter-spacing:0.3px;"">&#10022; Lavar con agua fría y colores similares</span>
    <span style=""background:#fff;color:#555;font-size:11px;padding:5px 13px;letter-spacing:0.3px;"">&#10022; Evitar secadora para mantener la forma y color</span>
  </div>
</div>

<!-- GUÍA DE TALLES -->
<div style=""background:#f7f4f1;padding:22px 28px 18px;margin-top:2px;border-top:1px solid #e0dbd5;"">
  <p style=""font-size:9px;font-weight:700;letter-spacing:2px;text-transform:uppercase;color:#90263A;margin-bottom:14px;"">Gu&iacute;a de talles</p>
  <img src=""https://d1a9qnv764bsoo.cloudfront.net/stores/601/496/rte/03-pack-x-3-remeras-basicas-escote-en-v-blanco-negro-gris.png"" alt=""Gu&iacute;a de talles Pack x 3 Remeras Basicas escote en V (Blanco-Negro-Gris)"" style=""display:block;width:100%;height:auto;"" />
</div>

<!-- NOTA FINAL -->
<div style=""background:#ffffff;padding:20px 28px 24px;margin-top:2px;border-bottom:3px solid #90263A;"">

  <div style=""background:#90263A;padding:14px 20px;margin-bottom:16px;display:flex;align-items:center;gap:14px;""><div style=""width:36px;height:36px;border-radius:50%;background:#ffffff;display:flex;align-items:center;justify-content:center;flex-shrink:0;""><span style=""font-size:14px;font-weight:700;color:#90263A;"">A</span></div><div><p style=""font-size:9px;letter-spacing:2px;text-transform:uppercase;color:#D5C792;margin-bottom:3px;"">Referencia de talle</p><p style=""font-size:14px;color:#ffffff;font-weight:700;letter-spacing:0.3px;"">Ale usa talle L en este modelo</p></div></div>

  <p style=""font-size:11px;color:#aaa;text-align:center;margin-bottom:10px;"">La modelo de la foto usa talle S</p>
  <p style=""font-size:10px;color:#000;text-align:center;font-style:italic;margin:0;"">Todas las medidas son aproximadas y lineales. No son de contorno.</p>
  <p style=""font-size:10px;color:#000;text-align:center;font-style:italic;margin:4px 0 0;"">Todas las prendas del pack son del mismo talle seleccionado.</p>
</div>";"";"";"";"";"SI";"";"";"";""
